@Machine id
@Number of Cores
@Power monitor
@Power GPU
@set of supported CPU speed
@set of power consumption associed to each supported CPU speed
@set of state transition supported
@set of latency associed to each state transition supported
@set of power consumption associed to each state transition supported 

V4-linux176	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V3-linux177	2	0	0	2200000	65	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|50|3.33|0.7
V4-linux177	2	0	0	2200000	65	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|50|3.33|0.7
V4-linux174	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V5-linux174	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux175	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux173	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V4-linux173	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux188	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux166	1	0	0	3000000|2000000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
V3-linux168	2	0	0	1800000|1200000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
V4-linux168	2	0	0	2200000|1600000|1200000	65|47.27|35.45	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|35.45|3.33|0.7
V5-linux168	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V2-linux38	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
linux34	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux34	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux34	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V2-linux36	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.65|3.33|0.7
V2-linux37	2	0	0	3000000|2000000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
V4-linux37	4	0	0	3000000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
-1
