MachineName Time Duracao
JKEPLING-2K	1062637200	2246
462-PC	1062637200	2265
SHANKAR-3-2K	1062637200	2592
CUTCHIN2-PC	1062637200	2606
SHANKAR3-PC	1062637200	2608
AKZO	1062637200	2760
DONATE1-PC	1062637200	3073
WISHBONE-2K	1062637200	4035
LPW12	1062637200	4334
DESHPANDE-PC	1062637200	4382
FLERI-PC	1062637200	4501
AMOREIRA-PC	1062637200	4940
SUTTON-PC	1062637200	5404
BREDDY-PC	1062637200	5626
DZHOU-PC	1062637200	6301
PUD-2K	1062637200	6364
IGOR-PC	1062637200	6791
TRACTOR-2K	1062637200	6901
YOHAN-PC	1062637200	6902
HAWK1-PC	1062637200	7937
DING-2K	1062637200	8067
CLARA	1062637200	8794
LPW14	1062637200	8871
IRENE-PC	1062637200	9060
ALI-2K	1062637200	9617
SHINDYALOV-2K	1062637200	9866
KWON-2K	1062637200	11133
SEKAR-2K	1062637200	11913
WOOLEY-PC	1062637200	12958
KILDA	1062637200	16460
JOLAN-2K	1062637200	16534
SHANKAR4-PC	1062637200	18261
MDIMEGLI-PC	1062637200	20055
BERMAN-PC	1062637200	20125
EUROPA-PC	1062637200	20202
MWAN-2K	1062637200	20394
REALVIDEO-2K	1062637200	21321
LCARLSON-PC	1062637200	21875
SAUNDERS-PC	1062637200	21909
408-PC	1062637200	22214
LPW21	1062637200	22218
CECEROSE	1062637200	22263
MOORE1-PC	1062637200	22363
MORELAND-2K	1062637200	22812
ABLATECKY-PC	1062637200	28513
